ocel:activity,ocel:timestamp,ocel:type:MAT,ocel:type:PLA,ocel:type:PO_ITEM,ocel:type:SO_ITEM,ocel:type:CUSTOMER,ocel:type:SUPPLIER,Stock Before,Stock After,ocel:type:MAT_PLA,ocel:eid,Annual Demand (D_m),Average Daily Demand (d_m),Std Dev of Daily Demand (σ_m),Average Lead Time (l_m),EOQ,Safety Stock (SS),Reorder Point (ROP),OS,CUMCOUNT,INVCUMCOUNT,Current Status,Status Change Happened,Status Change Happened2,Status Change Happened3,Status Change Happened4
START OVERSTOCK,2024-09-19 03:21:29,['MAT-100'],['Plant1'],['PO_ITEM--137-5'],,,['SUPPLIER--18'],0.0,47.0,['MAT-100_Plant1'],e1309_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
Goods Receipt (Overstock),2024-09-19 03:21:30,['MAT-100'],['Plant1'],['PO_ITEM--137-5'],,,['SUPPLIER--18'],0.0,47.0,['MAT-100_Plant1'],e1309,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
END OVERSTOCK,2024-09-19 03:21:31,['MAT-100'],['Plant1'],['PO_ITEM--137-5'],,,['SUPPLIER--18'],0.0,47.0,['MAT-100_Plant1'],e1309_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
START UNDERSTOCK,2024-04-22 03:20:49,['MAT-100'],['Plant2'],,['SO_ITEM--47-4'],['CUSTOMER--2'],,0.0,0.0,['MAT-100_Plant2'],e1305_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-04-22 03:20:50,['MAT-100'],['Plant2'],,['SO_ITEM--47-4'],['CUSTOMER--2'],,0.0,0.0,['MAT-100_Plant2'],e1305,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-07-22 03:21:20,['MAT-100'],['Plant2'],,['SO_ITEM--154-1'],['CUSTOMER--42'],,0.0,0.0,['MAT-100_Plant2'],e1308,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-07-22 03:21:21,['MAT-100'],['Plant2'],,['SO_ITEM--154-1'],['CUSTOMER--42'],,0.0,0.0,['MAT-100_Plant2'],e1308_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-06-07 03:21:09,['MAT-100'],['Plant3'],,['SO_ITEM--11-1'],['CUSTOMER--33'],,0.0,0.0,['MAT-100_Plant3'],e1307_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
Create Sales Order Item (Understock),2024-06-07 03:21:10,['MAT-100'],['Plant3'],,['SO_ITEM--11-1'],['CUSTOMER--33'],,0.0,0.0,['MAT-100_Plant3'],e1307,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
END UNDERSTOCK,2024-06-07 03:21:11,['MAT-100'],['Plant3'],,['SO_ITEM--11-1'],['CUSTOMER--33'],,0.0,0.0,['MAT-100_Plant3'],e1307_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
START UNDERSTOCK,2023-11-24 03:20:39,['MAT-100'],['Plant5'],['PO_ITEM--110-1'],,,['SUPPLIER--25'],0.0,0.0,['MAT-100_Plant5'],e1304_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2023-11-24 03:20:40,['MAT-100'],['Plant5'],['PO_ITEM--110-1'],,,['SUPPLIER--25'],0.0,0.0,['MAT-100_Plant5'],e1304,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-05-13 03:21:00,['MAT-100'],['Plant5'],,['SO_ITEM--74-3'],['CUSTOMER--32'],,0.0,0.0,['MAT-100_Plant5'],e1306,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
